id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors
289587	943992	['Benoit\xa0G. Bruneau', 'Joseph\xa0A. Wamstad', 'Jeffrey\xa0M. Alexander', 'Rebecca\xa0M. Truty', 'Avanti Shrikumar', 'Fugen Li', 'Kirsten\xa0E. Eilertson', 'Huiming Ding', 'John\xa0N. Wylie', 'Alexander\xa0R. Pico', 'John\xa0A. Capra', 'Genevieve Erwin', 'Steven\xa0J. Kattman', 'Gordon\xa0M. Keller', 'Deepak Srivastava', 'Stuart\xa0S. Levine', 'Katherine\xa0S. Pollard', 'Alisha\xa0K. Holloway', 'Laurie\xa0A. Boyer']	Cell	article	10.1016/j.cell.2012.07.035	24.7	2012-09-13T00:00:00+00:00	2012	9	12	7	0	0.631578947368421	0.368421052631579	0	19	male	0.99	female	0.95	firstlast	Benoit Bruneau, Joseph Wamstad, Jeffrey Alexander, Rebecca Truty, Avanti Shrikumar, Fugen Li, Kirsten Eilertson, Huiming Ding, John Wylie, Alexander Pico, John Capra, Genevieve Erwin, Steven Kattman, Gordon Keller, Deepak ivastava, Stuart Levine, Katherine Pollard, Alisha Holloway, Laurie Boyer
290018	2950341	['Deng L', 'Song J', 'Gao X', 'Wang J', 'Yu H', 'Chen X', 'Varki N', 'Naito-Matsui Y', 'Galán JE', 'Varki A', 'Lingquan Deng', 'Jeongmin Song', 'Xiang Gao', 'Jiawei Wang', 'Hai Yu', 'Xi Chen', 'Nissi Varki', 'Yuko Naito-Matsui', 'Jorge\xa0E. Galán', 'Ajit Varki']	Cell	article	10.1016/j.cell.2014.10.057	25.244	2014-04-12T00:00:00+00:00	2014	4	7	2	1	0.7	0.2	0.1	10	male	0.7	female	0.5	firstlast	Deng Lingquan, Song Jeongmin, Gao Xiang, Wang Jiawei, Yu Hai, Chen Xi, Varki Nissi, Naito-Matsui Yuko, Galán Jorge, Varki Ajit
305687	8612823	"['Vanja Sisirak', 'Benjamin Sally', 'Vivette D’Agati', 'Wilnelly Martinez-Ortiz', 'Z.\xa0Birsin Özçakar', 'Joseph David', 'Ali Rashidfarrokhi', 'Ada Yeste', 'Casandra Panea', 'Asiya\xa0Seema Chida', 'Milena Bogunovic', 'Ivaylo\xa0I. Ivanov', 'Francisco\xa0J. Quintana', 'Inaki Sanz', 'Keith\xa0B. Elkon', 'Mustafa Tekin', 'Fatoş Yalçınkaya', 'Timothy\xa0J. Cardozo', 'Robert\xa0M. Clancy', 'Jill\xa0P. Buyon', 'Boris Reizis', 'Sisirak, Vanja', 'Sally, Benjamin', """"D'Agati, Vivette"""", 'Martinez-Ortiz, Wilnelly', 'Özçakar, Z Birsin', 'David, Joseph', 'Rashidfarrokhi, Ali', 'Yeste, Ada', 'Panea, Casandra', 'Chida, Asiya Seema', 'Bogunovic, Milena', 'Ivanov, Ivaylo I', 'Quintana, Francisco J', 'Sanz, Inaki', 'Elkon, Keith B', 'Tekin, Mustafa', 'Yalçınkaya, Fatoş', 'Cardozo, Timothy J', 'Clancy, Robert M', 'Buyon, Jill P', 'Reizis, Boris']"	Cell	article	10.1016/j.cell.2016.05.034	97.2	2016-06-09T00:00:00+00:00	2016	6	11	7	4	0.5	0.318181818181818	0.181818181818182	22			male	0.99	firstlast	Vivette Agati, Z Birsin, Vanja Sisirak, Benjamin Sally, Wilnelly Martinez-Ortiz, Özçakar Birsin, Joseph David, Ali Rashidfarrokhi, Ada Yeste, Casandra Panea, Asiya Seema, Milena Bogunovic, Ivaylo Ivanov, Francisco Quintana, Inaki Sanz, Keith Elkon, Mustafa Tekin, Fatoş Yalçınkaya, Timothy Cardozo, Robert Clancy, Jill Buyon, Boris Reizis
307533	1648890	['Radhika Subramanian', 'Shih-Chieh Ti', 'Lei Tan', 'Seth\xa0A. Darst', 'Tarun\xa0M. Kapoor']	Cell	article	10.1016/j.cell.2013.06.021	2.5	2013-01-01T00:00:00+00:00	2013	1	4	1	0	0.8	0.2	0	5	female	0.96	male	0.68	lastfirst	Radhika Subramanian, Shih-Chieh Ti, Lei Tan, Seth Darst, Tarun Kapoor
308666	905248	['Eran Hodis', 'Ian\xa0R. Watson', 'Gregory\xa0V. Kryukov', 'Stefan\xa0T. Arold', 'Marcin Imielinski', 'Jean-Philippe Theurillat', 'Elizabeth Nickerson', 'Daniel Auclair', 'Liren Li', 'Chelsea Place', 'Daniel DiCara', 'Alex\xa0H. Ramos', 'Michael\xa0S. Lawrence', 'Kristian Cibulskis', 'Andrey Sivachenko', 'Douglas Voet', 'Gordon Saksena', 'Nicolas Stransky', 'Robert\xa0C. Onofrio', 'Wendy Winckler', 'Kristin Ardlie', 'Nikhil Wagle', 'Jennifer Wargo', 'Kelly Chong', 'Donald\xa0L. Morton', 'Katherine Stemke-Hale', 'Guo Chen', 'Michael Noble', 'Matthew Meyerson', 'John\xa0E. Ladbury', 'Michael\xa0A. Davies', 'Jeffrey\xa0E. Gershenwald', 'Stephan\xa0N. Wagner', 'Dave\xa0S.B. Hoon', 'Dirk Schadendorf', 'Eric\xa0S. Lander', 'Stacey\xa0B. Gabriel', 'Gad Getz', 'Levi\xa0A. Garraway', 'Lynda Chin', 'Hodis E', 'Watson IR', 'Kryukov GV', 'Arold ST', 'Imielinski M', 'Theurillat JP', 'Nickerson E', 'Auclair D', 'Li L', 'Place C', 'Dicara D', 'Ramos AH', 'Lawrence MS', 'Cibulskis K', 'Sivachenko A', 'Voet D', 'Saksena G', 'Stransky N', 'Onofrio RC', 'Winckler W', 'Ardlie K', 'Wagle N', 'Wargo J', 'Chong K', 'Morton DL', 'Stemke-Hale K', 'Chen G', 'Noble M', 'Meyerson M', 'Ladbury JE', 'Davies MA', 'Gershenwald JE', 'Wagner SN', 'Hoon DS', 'Schadendorf D', 'Lander ES', 'Gabriel SB', 'Getz G', 'Garraway LA', 'Chin L']	Cell	article	10.1016/j.cell.2012.06.024	54.688	2012-01-01T00:00:00+00:00	2012	1	30	10	0	0.75	0.25	0	40	male	0.97	female	0.98	firstlast	Eran Hodis, Ian Watson, Gregory Kryukov, Stefan Arold, Marcin Imielinski, Jean-Philippe Theurillat, Elizabeth Nickerson, Daniel Auclair, Liren Li, Chelsea Place, Daniel DiCara, Alex Ramos, Michael Lawrence, Kristian Cibulskis, Andrey Sivachenko, Douglas Voet, Gordon Saksena, Nicolas Stransky, Robert Onofrio, Wendy Winckler, Kristin Ardlie, Nikhil Wagle, Jennifer Wargo, Kelly Chong, Donald Morton, Katherine Stemke-Hale, Guo Chen, Michael Noble, Matthew Meyerson, John Ladbury, Michael Davies, Jeffrey Gershenwald, Stephan Wagner, Dave Hoon, Dirk Schadendorf, Eric Lander, Stacey Gabriel, Gad Getz, Levi Garraway, Lynda Chin
308882	2158233	['Han J', 'Zhang H', 'Wang Z', 'Zhou H', 'Zhang Z', 'Junhong Han', 'Hui Zhang', 'Honglian Zhang', 'Zhiquan Wang', 'Hui Zhou', 'Zhiguo Zhang']	Cell	article	10.1016/j.cell.2013.10.014	4	2013-11-13T00:00:00+00:00	2013	11	3	1	0	0.75	0.25	0	4	male	0.73	male	0.6	firstlast	Han Junhong, Wang Zhiquan, Zhou Hui, Zhang Zhang
312787	208718	['Suzuki A', 'Stern SA', 'Bozdagi O', 'Huntley GW', 'Walker RH', 'Magistretti PJ', 'Alberini CM', 'Akinobu Suzuki', 'Sarah\xa0A. Stern', 'Ozlem Bozdagi', 'George\xa0W. Huntley', 'Ruth\xa0H. Walker', 'Pierre\xa0J. Magistretti', 'Cristina\xa0M. Alberini']	Cell	article	10.1016/j.cell.2011.02.018	26.952	2011-03-04T00:00:00+00:00	2011	3	3	4	0	0.428571428571429	0.571428571428571	0	7	male	0.78	female	0.99	lastfirst	Suzuki Akinobu, Stern Sarah, Bozdagi Ozlem, Huntley George, Walker Ruth, Magistretti Pierre, Alberini Cristina
317807	1763766	['Tony Hunter']	Cell	article	10.1016/j.cell.2012.03.013	2	2012-03-01T00:00:00+00:00	2012	3	1	0	0	1	0	0	1	male	0.98	male	0.98	firstlast	Tony Hunter
318503	6532229	['Aakanksha Singhvi', 'Bingqian Liu', 'Christine\xa0J. Friedman', 'Jennifer Fong', 'Yun Lu', 'Xin-Yun Huang', 'Shai Shaham']	Cell	article	10.1016/j.cell.2016.03.026	41.838	2016-04-07T00:00:00+00:00	2016	4	2	4	1	0.285714285714286	0.571428571428571	0.142857142857143	7			male	0.7	firstlast	Aakanksha Singhvi, Bingqian Liu, Christine Friedman, Jennifer Fong, Yun Lu, Xin-Yun Huang, Shai Shaham
320228	3546661	['Tang Z', 'Dai S', 'He Y', 'Doty RA', 'Shultz LD', 'Sampson SB', 'Dai C', 'Zijian Tang', 'Siyuan Dai', 'Yishu He', 'Rosalinda\xa0A. Doty', 'Leonard\xa0D. Shultz', 'Stephen\xa0Byers Sampson', 'Chengkai Dai']	Cell	article	10.1016/j.cell.2015.01.028	6.45	2015-12-02T00:00:00+00:00	2015	12	6	1	0	0.857142857142857	0.142857142857143	0	7	male	0.62	male	0.73	firstlast	Tang Zijian, Dai Siyuan, He Yishu, Doty Rosalinda, Shultz Leonard, Sampson Stephen, Dai Chengkai
