id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors																																																																																								
34715	42617204	"['Kaile Zhang', 'Jun Chen', 'Shukui Zhou', 'Ranxin Yang', 'Ying Wang', 'Qiang Fu', 'Rong Chen', 'Xiaolan Fang']"	bioRxiv	article	10.1101/330332	1	2018-05-25T00:00:00+00:00	2018	5	7	1	0	0.875	0.125	0	8	male	0.6	female	0.71	lastfirst	"Kaile Zhang, Jun Chen, Shukui Zhou, Ranxin Yang, Ying Wang, Qiang Fu, Rong Chen, Xiaolan Fang"																																																																																								
34990	7043542	"['Padmini Rangamani', 'Michael G. Levy', 'Shahid M. Khan', 'George Oster']"	bioRxiv	article	10.1101/050492	2.35	2016-04-27T00:00:00+00:00	2016	4	3	0	1	0.75	0	0.25	4			male	0.98	firstlast	"Padmini Rangamani, Michael Levy, Shahid Khan, George Oster"																																																																																								
35848	31008703	"['Dong-Suk Kim', 'Poojya Anantharam', 'Andrea Hoffman', 'Mitchell L Meade', 'Nadja Grobe', 'Jeffery M Gearhart', 'Elizabeth M Whitley', 'Belinda Mahama', 'Wilson K Rumbeiha']"	bioRxiv	article	10.1101/237370	0.25	2017-12-28T00:00:00+00:00	2017	12	5	3	1	0.555555556	0.333333333	0.111111111	9	male	0.92	male	0.98	firstlast	"Dong-Suk Kim, Poojya Anantharam, Andrea Hoffman, Mitchell Meade, Nadja Grobe, Jeffery Gearhart, Elizabeth Whitley, Belinda Mahama, Wilson Rumbeiha"																																																																																								
36119	31968276	"['Carmen Mirabelli', 'Martine Jaspers', 'Mieke Boon', 'Mark Jorissen', 'Mohamed Koukni', 'Dorothee Bardiot', 'Patrick Chaltin', 'Arnaud Marchand', 'Johan Neyts', 'Dirk Jochmans']"	bioRxiv	article	10.1101/250639	1.75	2018-01-19T00:00:00+00:00	2018	1	6	4	0	0.6	0.4	0	10	female	0.98	male	0.99	firstlast	"Carmen Mirabelli, Martine Jaspers, Mieke Boon, Mark Jorissen, Mohamed Koukni, Dorothee Bardiot, Patrick Chaltin, Arnaud Marchand, Johan Neyts, Dirk Jochmans"																																																																																								
37704	16183760	"['Oscar Alejandro Perez-Escobar', 'Marc Gottschling', 'Guillaume Chomicki', 'Fabien L. Condamine', 'Bente Klitgaard', 'Emerson Pansarin', 'Guenter Gerlach']"	bioRxiv	article	10.1101/106393	2.6	2017-02-06T00:00:00+00:00	2017	2	6	1	0	0.857142857	0.142857143	0	7	male	0.99	male	0.99	firstlast	"Oscar Alejandro, Marc Gottschling, Guillaume Chomicki, Fabien Condamine, Bente Klitgaard, Emerson Pansarin, Guenter Gerlach"																																																																																								
37877	24632642	"['Daniel Bennett', 'Karen Sasmita', 'Carsten Murawski', 'Stefan Bode']"	bioRxiv	article	10.1101/183665	2.75	2017-09-01T00:00:00+00:00	2017	9	3	1	0	0.75	0.25	0	4	male	0.99	male	0.98	firstlast	"Daniel Bennett, Karen Sasmita, Carsten Murawski, Stefan Bode"																																																																																								
38440	24634431	"['Sarah Robinson', 'Michal Huflejt', 'Pierre Barbier de Reuille', 'Siobhan A. Braybrook', 'Martine Schorderet', 'Didier Reinhardt', 'Cris Kuhlemeier']"	bioRxiv	article	10.1101/183533	25.1	2017-09-01T00:00:00+00:00	2017	9	3	4	0	0.428571429	0.571428571	0	7	female	0.98	female	0.68	firstlast	"Sarah Robinson, Michal Huflejt, Pierre Barbier, Siobhan Braybrook, Martine Schorderet, Didier Reinhardt, Cris Kuhlemeier"																																																																																								
40479	4602361	"['Benedicte Madon', 'Eric Le Nuz', 'Cedric Ferlat', 'Yves Hingrat']"	bioRxiv	article	10.1101/028597	1.5	2015-10-08T00:00:00+00:00	2015	10	3	1	0	0.75	0.25	0	4	female	0.98	male	0.98	firstlast	"Benedicte Madon, Eric Le, Cedric Ferlat, Yves Hingrat"																																																																																								
41851	21550116	"['Joiselle Fernandes', 'Marine Duhamel', 'Mathilde Seguela-Arnaud', 'Nicole Froger', 'Chloe Girard', 'Sandrine Choinard', 'Nancy De Winne', 'Geert De Jaeger', 'Kris Gevaert', 'Raphael Guerois', 'Rajeev Kumar', 'Raphael Mercier']"	bioRxiv	article	10.1101/159657	11.75	2017-07-06T00:00:00+00:00	2017	7	6	6	0	0.5	0.5	0	12	male	0.73	male	0.99	firstlast	"Joiselle Fernandes, Marine Duhamel, Mathilde Seguela-Arnaud, Nicole Froger, Chloe Girard, Sandrine Choinard, Nancy De, Geert De, Kris Gevaert, Raphael Guerois, Rajeev Kumar, Raphael Mercier"																																																																																								
42260	3777804	"['Nicola De Maio', 'Dominik Schrempf', 'Carolin Kosiol']"	bioRxiv	article	10.1101/016360	14.65	2015-06-03T00:00:00+00:00	2015	6	2	1	0	0.666666667	0.333333333	0	3	male	0.85	female	0.96	firstlast	"Nicola De, Dominik Schrempf, Carolin Kosiol"																																																																																								
42419	43178657	"['Julia Canet-Pons', 'Ralf Schubert', 'Ruth Pia Duecker', 'Roland Schrewe', 'Sandra Woelke', 'Martina Schnoelzer', 'Georg Auburger', 'Stefan Zielen', 'Uwe Warnken']"	bioRxiv	article	10.1101/336842	1.5	2018-06-02T00:00:00+00:00	2018	6	5	4	0	0.555555556	0.444444444	0	9	female	0.97	male	0.99	firstlast	"Julia Canet-Pons, Ralf Schubert, Ruth Pia, Roland Schrewe, Sandra Woelke, Martina Schnoelzer, Georg Auburger, Stefan Zielen, Uwe Warnken"																																																																																								
43011	40901761	"['Bing Ma', 'Elias McComb', 'Pawel Gajer', 'Hongqiu Yang', 'Mike Humphrys', 'Adora C Okogbule-Wonodi', 'Alessio Fasano', 'Jacques Ravel', 'Rose M Viscardi']"	bioRxiv	article	10.1101/316257	10.43	2018-05-09T00:00:00+00:00	2018	5	5	4	0	0.555555556	0.444444444	0	9	female	0.83	female	0.97	firstlast	"Bing Ma, Elias McComb, Pawel Gajer, Hongqiu Yang, Mike Humphrys, Adora Okogbule-Wonodi, Alessio Fasano, Jacques Ravel, Rose Viscardi"																																																																																								
43890	13279831	"['Charalampos Lazaris', 'Stephen Kelly', 'Panagiotis Ntziachristos', 'Iannis Aifantis', 'Aristotelis Tsirigos']"	bioRxiv	article	10.1101/084954	11.6	2016-11-02T00:00:00+00:00	2016	11	5	0	0	1	0	0	5	male	0.99	male	0.99	firstlast	"Charalampos Lazaris, Stephen Kelly, Panagiotis Ntziachristos, Iannis Aifantis, Aristotelis Tsirigos"																																																																																								
44240	9912041	"['Naomi Scott', 'Jeff Lauzon-Joset', 'Anya Jones', 'Kyle Mincham', 'Niamh Troy', 'Jonatan Leffler', 'Michael Serralha', 'Susan Prescott', 'Sarah Robertson', 'Christian Pasquali', 'Anthony Bosco', 'Patrick Holt', 'Deborah Strickland']"	bioRxiv	article	10.1101/064857	1	2016-07-20T00:00:00+00:00	2016	7	7	6	0	0.538461538	0.461538462	0	13	female	0.98	female	0.99	firstlast	"Naomi Scott, Jeff Lauzon-Joset, Anya Jones, Kyle Mincham, Niamh Troy, Jonatan Leffler, Michael Serralha, Susan Prescott, Sarah Robertson, Christian Pasquali, Anthony Bosco, Patrick Holt, Deborah Strickland"																																																																																								
44966	33405477	"['Nina Trautmann', 'Jerome C. Foo', 'Josef Frank', 'Stephanie H. Witt', 'Fabian Streit', 'Jens Treutlein', 'Steffen Conrad von Heydendorff', 'Maria Gilles', 'Major Depressive Disorder Working Group of the PGC', 'Andreas J. Forstner', 'Ulrich Ebner-Priemer', 'Markus M. Noethen', 'Michael Deuschle', 'Marcella Rietschel']"	bioRxiv	article	10.1101/179457	1.25	2018-02-19T00:00:00+00:00	2018	2	10	4	0	0.714285714	0.285714286	0	14	female	0.98	female	0.98	firstlast	"Nina Trautmann, Jerome Foo, Josef Frank, Stephanie Witt, Fabian Streit, Jens Treutlein, Steffen Conrad, Maria Gilles, Major Depressive, Andreas Forstner, Ulrich Ebner-Priemer, Markus Noethen, Michael Deuschle, Marcella Rietschel"																																																																																								
45141	6333278	"['Benjamin M Stormo', 'Donald T Fox']"	bioRxiv	article	10.1101/045781	3.35	2016-03-25T00:00:00+00:00	2016	3	2	0	0	1	0	0	2	male	0.99	male	0.98	firstlast	"Benjamin Stormo, Donald Fox"																																																																																								
45156	21270959	"['Jason R. Gallant', 'Joshua Sperling', 'Catherine Cheng', 'Matthew E. Arnegard', 'Bruce Carlson', 'Carl Hopkins']"	bioRxiv	article	10.1101/154047	3.25	2017-06-22T00:00:00+00:00	2017	6	5	1	0	0.833333333	0.166666667	0	6	male	0.99	male	0.98	firstlast	"Jason Gallant, Joshua Sperling, Catherine Cheng, Matthew Arnegard, Bruce Carlson, Carl Hopkins"																																																																																								
45693	25081234	"['Shohei Komaki', 'Takeshi Igawa']"	bioRxiv	article	10.1101/186775	1.5	2017-09-10T00:00:00+00:00	2017	9	2	0	0	1	0	0	2	male	1	male	1	firstlast	"Shohei Komaki, Takeshi Igawa"																																																																																								
47228	10448750	"['Yusuke Matsui', 'Atsushi Niida', 'Ryutaro Uchi', 'Koshi Mimori', 'Satoru Miyano', 'Teppei Shimamura']"	bioRxiv	article	10.1101/069302	6.25	2016-08-12T00:00:00+00:00	2016	8	6	0	0	1	0	0	6	male	1	male	1	firstlast	"Yusuke Matsui, Atsushi Niida, Ryutaro Uchi, Koshi Mimori, Satoru Miyano, Teppei Shimamura"																																																																																								
48375	20917288	"['Rita Dunn', 'Jonah Elgart', 'Lisa Lokshina', 'Alexander Faisman', 'Edward Khokhlovich', 'Yuriy Gankin', 'Andrey Vyshedskiy']"	bioRxiv	article	10.1101/146449	3.5	2017-06-08T00:00:00+00:00	2017	6	5	2	0	0.714285714	0.285714286	0	7	female	0.98	male	0.99	firstlast	"Rita Dunn, Jonah Elgart, Lisa Lokshina, Alexander Faisman, Edward Khokhlovich, Yuriy Gankin, Andrey Vyshedskiy"																																																																																								
